TEAM,clutch GP,clutch W,clutch L,clutch MIN,clutch OFFRTG,clutch DEFRTG,clutch NETRTG,clutch AST%,clutch AST/TO,clutch ASTRATIO,clutch OREB%,clutch DREB%,clutch REB%,clutch TOV%,clutch EFG%,clutch TS%,clutch PACE,clutch PIE
AtlantaHawks,39,23,16,160.0,118.0,101.0,17.0,44.2,1.09,10.1,35.0,65.8,51.5,12.1,46.6,59.0,89.47,60.0
BostonCeltics,45,11,34,192.0,102.4,112.6,-10.2,56.3,1.38,14.5,36.8,63.5,49.0,14.5,45.4,50.7,97.97,37.4
CharlotteHornets,51,33,18,194.0,107.6,91.8,15.8,62.0,1.56,13.2,37.6,69.8,53.3,11.6,42.1,52.8,89.61,67.5
ChicagoBulls,31,21,10,116.0,106.8,96.5,10.3,56.8,1.68,13.3,32.5,65.8,49.0,10.6,44.1,53.9,96.10,60.3
ClevelandCavaliers,45,18,27,189.0,101.4,105.4,-4.0,54.4,1.00,13.2,31.9,67.6,50.6,17.3,47.3,55.9,92.06,44.2
DallasMavericks,46,19,27,184.0,98.4,103.1,-4.8,56.3,1.17,13.0,31.1,61.4,46.7,14.8,42.9,51.4,97.37,45.5
DenverNuggets,46,12,34,237.0,102.1,112.5,-10.4,56.4,1.32,13.4,33.9,57.4,45.7,13.8,44.1,51.0,91.10,40.3
DetroitPistons,36,22,14,144.0,123.1,108.5,14.6,44.1,2.05,12.2,31.4,62.7,48.5,7.7,51.2,61.4,86.58,58.8
GoldenStateWarriors,30,11,19,148.0,99.3,102.0,-2.7,47.6,0.80,10.4,30.7,73.2,51.0,16.7,41.9,52.7,97.37,43.8
HoustonRockets,43,30,13,176.0,112.2,90.0,22.2,75.2,2.20,18.8,37.5,68.7,53.6,12.2,50.0,57.5,94.28,73.1
IndianaPacers,43,20,23,207.0,101.8,101.4,0.3,56.9,1.40,12.7,31.6,67.8,49.8,11.8,42.6,51.9,94.21,47.7
LosAngelesClippers,47,24,23,196.0,96.1,99.5,-3.4,56.7,1.07,11.4,36.4,65.9,50.7,14.2,39.6,48.5,95.25,43.3
LosAngelesLakers,42,27,15,181.0,106.7,106.2,0.6,64.0,2.29,16.3,34.4,70.4,51.1,9.8,48.2,53.4,90.34,55.1
MiamiHeat,47,33,14,158.0,102.8,101.3,1.5,61.6,1.22,13.6,38.0,65.9,51.8,15.4,46.2,52.8,96.35,49.9
MilwaukeeBucks,48,20,28,173.0,106.6,105.9,0.7,51.3,1.04,12.7,33.8,59.9,47.6,16.1,50.0,57.6,97.67,48.3
MinnesotaTimberwolves,44,25,19,159.0,107.4,105.7,1.7,52.7,1.45,11.3,35.8,60.6,47.9,10.2,40.9,54.1,96.00,56.1
NewJerseyNets,37,15,22,141.0,87.9,106.3,-18.4,50.6,0.83,10.1,35.1,63.2,48.1,16.2,36.5,45.3,97.40,33.1
NewYorkKnicks,52,36,16,188.0,109.6,97.8,11.7,62.4,1.11,14.3,38.7,71.1,56.4,17.2,50.2,60.7,99.33,68.4
OrlandoMagic,45,27,18,194.0,100.5,88.8,11.7,50.9,0.92,11.4,35.1,67.1,52.2,16.3,44.2,52.8,94.97,56.8
Philadelphia76ers,38,13,25,140.0,99.6,111.6,-12.0,53.2,0.93,11.5,36.9,56.6,47.6,16.2,41.9,51.5,96.63,39.1
PhoenixSuns,43,21,22,186.0,109.6,110.4,-0.8,52.2,1.39,13.4,38.7,64.8,50.9,13.2,46.9,54.0,97.22,48.2
PortlandTrailBlazers,46,24,22,208.0,102.4,108.3,-6.0,52.3,1.14,11.8,36.8,71.4,53.5,13.9,42.3,52.0,95.91,45.3
SacramentoKings,41,21,20,176.0,103.1,93.7,9.5,54.5,1.15,13.1,35.5,68.4,53.0,15.1,45.7,54.7,95.36,60.7
SanAntonioSpurs,33,12,21,108.0,99.1,115.4,-16.4,56.9,1.61,13.1,29.8,62.9,45.0,10.8,43.5,50.6,97.41,35.2
SeattleSuperSonics,37,21,16,147.0,101.7,97.6,4.2,53.1,0.84,11.6,31.6,61.5,47.2,17.4,45.7,55.9,94.66,52.5
TorontoRaptors,48,19,29,207.0,98.0,109.4,-11.4,57.8,1.16,12.7,35.8,67.0,50.7,14.8,42.1,50.6,92.19,42.3
UtahJazz,40,26,14,181.0,109.2,106.6,2.6,75.2,3.03,18.0,28.8,72.3,49.0,8.3,45.2,53.7,92.81,54.2
VancouverGrizzlies,38,9,29,131.0,92.3,110.2,-17.8,73.7,1.02,13.8,26.5,59.6,44.6,17.5,40.0,51.4,89.44,36.9
WashingtonBullets,45,20,25,203.0,98.5,104.6,-6.1,54.2,1.31,13.2,32.4,67.7,49.0,13.3,43.4,50.6,94.09,47.9
